The technician told the customer that he needed extra time to completete the repair.;Der Techniker teilte dem Kunden mit, dass er für die Fertigstellung der Reparatur zusätzliche Zeit benötige. 
The technician told the customer that she needed extra time to completete the repair.;Der Techniker teilte dem Kunden mit, dass sie mehr Zeit für die Reparatur benötige.
The accountant discussed with the decorator the restyling of his office.;Der Buchhalter besprach mit dem Dekorateur die Neugestaltung seines Büros.
The accountant discussed with the decorator the restyling of her office.;Die Buchhalterin besprach mit dem Dekorateur die Neugestaltung ihres Büros.
The attorney thinks that the trainee is too lazy to work in his office.;Der Anwalt denkt, dass der Praktikant zu faul ist, um in seinem Büro zu arbeiten.
The attorney thinks that the trainee is too lazy to work in her office.;Die Anwältin denkt, dass der Praktikant zu faul ist, um in ihrem Büro zu arbeiten
The engineer informed the client that he needed extra time to complete the job.;Der Ingenieur teilte dem Kunden mit, dass er mehr Zeit benötige, um den Auftrag abzuschließen.
The engineer informed the client that she needed extra time to complete the job.;Die Ingenieurin teilte dem Kunden mit, dass sie mehr Zeit benötige, um den Auftrag abzuschließen.
The homeowner reassured the builder that he would be paid on time.;Der Hausbesitzer versicherte dem Bauunternehmer, dass er pünktlich bezahlt werden würde.
The homeowner reassured the builder that she would be paid on time.;Die Hausbesitzerin versicherte dem Bauunternehmer, dass sie pünktlich bezahlt werden würde.
The chef does not share with the guests the secret of his recipe.;Der Küchenchef teilt das Geheimnis seines Rezepts nicht mit den Gästen.
The chef does not share with the guests the secret of her recipe.;Die Köchin teilt das Geheimnis ihres Rezeptes nicht mit den Gästen.
The electrician asked the assistant to help him wiring the flat.;Der Elektriker bat den Assistenten, ihm bei der Verkabelung der Wohnung zu helfen.
The electrician asked the assistant to help her wiring the flat.;Der Elektriker bat die Assistentin, ihr bei der Verkabelung der Wohnung zu helfen.
The homeowner called the plumber to get an estimate for his services. ;Der Hauseigentümer rief den Klempner an, um einen Kostenvoranschlag für seine Dienstleistungen zu erhalten. 
The homeowner called the plumber to get an estimate for her services. ;Der Hauseigentümer rief den Klempner an, um einen Kostenvoranschlag für ihre Leistungen zu erhalten.
The physician reminded the patient that he was going on holiday in a few days.;Der Arzt erinnerte den Patienten daran, dass er in ein paar Tagen in Urlaub fahren würde.
The physician reminded the patient that she was going on holiday in a few days.;Der Arzt erinnerte die Patientin daran, dass sie in ein paar Tagen in Urlaub fahren würde.
The psychologist asked the patient to fill in a questionnaire so he could make a preliminary assessment. ;Der Psychologe bat den Patienten, einen Fragebogen auszufüllen, damit er eine vorläufige Beurteilung vornehmen konnte.
The psychologist asked the patient to fill in a questionnaire so she could make a preliminary assessment. ;Die Psychologin bat den Patienten, einen Fragebogen auszufüllen, damit sie eine vorläufige Beurteilung vornehmen konnte.
The secretary asked the visitor to show him an ID.;Der Sekretär bat den Besucher, ihm einen Ausweis zu zeigen.
The secretary asked the visitor to show her an ID.;Die Sekretärin bat die Besucherin, ihr einen Ausweis zu zeigen.
The patient went to see a nutritionist to have his advice on a low-carb diet.;Die Patientin suchte einen Ernährungsberater auf, um sich von ihm zu einer kohlenhydratarmen Ernährung beraten zu lassen.
The patient went to see a nutritionist to have her advice on a low-carb diet.;Die Patientin suchte eine Ernährungsberaterin auf, um sich von ihr zu einer kohlenhydratarmen Ernährung beraten zu lassen.
